"编号","源文件","行","组件/函数","控件","显示文字或动态表达式","点击/输入事件","表单提交","外部表单","禁用条件","显示条件","静态处理路径","所属文件问题（不代表此控件已复现）","证据边界"
"CTRL-0779","src/normalized-ui/LaunchPopupPanel.tsx","14","LaunchPopupPanel","button","移除","{""onClick"":""()=>setValue({...value,productIds:value.productIds.filter(p=>p!==id)})""}","e=>{e.preventDefault();void perform(async()=>{const body={enabled:value.enabled,title:value.title,content:value.content,frequency:value.frequency,productIds:value.productIds,version:value.version};await executeRecoverableCommand(`${auth.employee.id}:launch-popup`,body,createIdempotencyKey('popup'),key=>api.postEndpoint('/api/staff/launch-popup',body,{idempotencyKey:key}));await load();setMessage('弹窗配置已保存')})}","","busy","","所属表单：e=>{e.preventDefault();void perform(async()=>{const body={enabled:value.enabled,title:value.title,content:value.content,frequency:value.frequency,productIds:value.productIds,version:value.version};await executeRecoverableCommand(`${auth.employee.id}:launch-popup`,body,createIdempotencyKey('popup'),key=>api.postEndpoint('/api/staff/launch-popup',body,{idempotencyKey:key}));await load();setMessage('弹窗配置已保存')})}","SYS-296","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0780","src/normalized-ui/LaunchPopupPanel.tsx","14","LaunchPopupPanel","select","请选择商品 {products.filter(p=>!value.productIds.includes(p.id)).map(p=><option key={p.id} value={p.id}>{p.name}</option>)}","{""onChange"":""e=>{if(e.target.value)setValue({...value,productIds:[...value.productIds,e.target.value]})}""}","e=>{e.preventDefault();void perform(async()=>{const body={enabled:value.enabled,title:value.title,content:value.content,frequency:value.frequency,productIds:value.productIds,version:value.version};await executeRecoverableCommand(`${auth.employee.id}:launch-popup`,body,createIdempotencyKey('popup'),key=>api.postEndpoint('/api/staff/launch-popup',body,{idempotencyKey:key}));await load();setMessage('弹窗配置已保存')})}","","busy||value.productIds.length>=8","value","所属表单：e=>{e.preventDefault();void perform(async()=>{const body={enabled:value.enabled,title:value.title,content:value.content,frequency:value.frequency,productIds:value.productIds,version:value.version};await executeRecoverableCommand(`${auth.employee.id}:launch-popup`,body,createIdempotencyKey('popup'),key=>api.postEndpoint('/api/staff/launch-popup',body,{idempotencyKey:key}));await load();setMessage('弹窗配置已保存')})}","SYS-296","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0781","src/normalized-ui/LaunchPopupPanel.tsx","14","LaunchPopupPanel","button","保存弹窗","{}","e=>{e.preventDefault();void perform(async()=>{const body={enabled:value.enabled,title:value.title,content:value.content,frequency:value.frequency,productIds:value.productIds,version:value.version};await executeRecoverableCommand(`${auth.employee.id}:launch-popup`,body,createIdempotencyKey('popup'),key=>api.postEndpoint('/api/staff/launch-popup',body,{idempotencyKey:key}));await load();setMessage('弹窗配置已保存')})}","","busy","value","所属表单：e=>{e.preventDefault();void perform(async()=>{const body={enabled:value.enabled,title:value.title,content:value.content,frequency:value.frequency,productIds:value.productIds,version:value.version};await executeRecoverableCommand(`${auth.employee.id}:launch-popup`,body,createIdempotencyKey('popup'),key=>api.postEndpoint('/api/staff/launch-popup',body,{idempotencyKey:key}));await load();setMessage('弹窗配置已保存')})}","SYS-296","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0782","src/normalized-ui/LoyaltyEmergencyControlPanel.tsx","80","LoyaltyEmergencyControlPanel","button","{item.state==='active'?<PauseCircle size={16}/>:<PlayCircle size={16}/>} {busy===item.capability?'正在确认':item.state==='active'?'暂停':'恢复'}","{""onClick"":""() => void change(item)""}","","","busy!==null","canControl","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0783","src/normalized-ui/MarketingContactPanel.tsx","79","MarketingContactPanel","input","营销操作原因","{""onChange"":""event=>setReason(event.target.value)""}","","","busy","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0784","src/normalized-ui/MarketingContactPanel.tsx","81","MarketingContactPanel","summary","新增告知版本","{}","","","","can('marketing.notice.edit')","浏览器原生展开/收起","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0785","src/normalized-ui/MarketingContactPanel.tsx","82","MarketingContactPanel","input","规则编号","{""onChange"":""event=>change('code',event.target.value.toUpperCase())""}","","","","can('marketing.notice.edit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0786","src/normalized-ui/MarketingContactPanel.tsx","82","MarketingContactPanel","NumberInputWithUnit","已知最新版本","{""onChange"":""event=>change('expectedVersion',event.target.value)""}","","","","can('marketing.notice.edit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0787","src/normalized-ui/MarketingContactPanel.tsx","83","MarketingContactPanel","input","实际经营主体","{""onChange"":""event=>change('operatorName',event.target.value)""}","","","","can('marketing.notice.edit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0788","src/normalized-ui/MarketingContactPanel.tsx","83","MarketingContactPanel","input","主体联系与客服","{""onChange"":""event=>change('operatorContact',event.target.value)""}","","","","can('marketing.notice.edit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0789","src/normalized-ui/MarketingContactPanel.tsx","84","MarketingContactPanel","textarea","营销用途与范围","{""onChange"":""event=>change('summary',event.target.value)""}","","","","can('marketing.notice.edit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0790","src/normalized-ui/MarketingContactPanel.tsx","84","MarketingContactPanel","textarea","所用资料类型","{""onChange"":""event=>change('dataCategories',event.target.value)""}","","","","can('marketing.notice.edit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0791","src/normalized-ui/MarketingContactPanel.tsx","85","MarketingContactPanel","textarea","停止联系方法","{""onChange"":""event=>change('withdrawalInstructions',event.target.value)""}","","","","can('marketing.notice.edit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0792","src/normalized-ui/MarketingContactPanel.tsx","86","MarketingContactPanel","input","告知开始（北京时间）","{""onChange"":""event=>change('validFrom',event.target.value)""}","","","","can('marketing.notice.edit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0793","src/normalized-ui/MarketingContactPanel.tsx","86","MarketingContactPanel","input","告知截止（北京时间）","{""onChange"":""event=>change('validUntil',event.target.value)""}","","","","can('marketing.notice.edit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0794","src/normalized-ui/MarketingContactPanel.tsx","87","MarketingContactPanel","NumberInputWithUnit","label","{""onChange"":""event=>change(key,event.target.value)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0795","src/normalized-ui/MarketingContactPanel.tsx","88","MarketingContactPanel","input","允许联系开始","{""onChange"":""event=>change('start',event.target.value)""}","","","","can('marketing.notice.edit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0796","src/normalized-ui/MarketingContactPanel.tsx","88","MarketingContactPanel","input","允许联系结束","{""onChange"":""event=>change('end',event.target.value)""}","","","","can('marketing.notice.edit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0797","src/normalized-ui/MarketingContactPanel.tsx","89","MarketingContactPanel","input","{channelNames[channel]}","{""onChange"":""event=>setChannels(previous=>event.target.checked?[...previous,channel]:previous.filter(c=>c!==channel))""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0798","src/normalized-ui/MarketingContactPanel.tsx","90","MarketingContactPanel","input","周 {'一二三四五六日'[day-1]}","{""onChange"":""event=>setWeekdays(previous=>event.target.checked?[...previous,day]:previous.filter(d=>d!==day))""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0799","src/normalized-ui/MarketingContactPanel.tsx","91","MarketingContactPanel","input","另提供“由本店联系的联合活动”独立同意选项，不提供合作方名单","{""onChange"":""event=>setJoint(event.target.checked)""}","","","","can('marketing.notice.edit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0800","src/normalized-ui/MarketingContactPanel.tsx","91","MarketingContactPanel","button","保存告知草稿","{""onClick"":""()=>void save()""}","","","","can('marketing.notice.edit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0801","src/normalized-ui/MarketingContactPanel.tsx","92","MarketingContactPanel","button","读取告知版本","{""onClick"":""()=>void operate(()=>read('notices'))""}","","","busy","can('marketing.notice.view')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0802","src/normalized-ui/MarketingContactPanel.tsx","93","MarketingContactPanel","button","审核通过","{""onClick"":""()=>void command(`/notices/${notice.id}/decision`,{action:'approve',reason},'已核实实际主体、用途、必要资料与停止方法。审核不等于客户同意。')""}","","","busy","notice.status==='draft'&&can('marketing.notice.approve')&&notice.created_by_employee_id!==auth.employee.id","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0803","src/normalized-ui/MarketingContactPanel.tsx","93","MarketingContactPanel","button","发布告知","{""onClick"":""()=>void command(`/notices/${notice.id}/decision`,{action:'publish',reason},'发布后本人可主动选择，不自动同意或发送任何消息。')""}","","","busy","notice.status==='approved'&&can('marketing.notice.publish')&&notice.created_by_employee_id!==auth.employee.id&&!notice.decisions.some(d=>d.action==='approve'&&d.employee_id===auth.employee.id)","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0804","src/normalized-ui/MarketingContactPanel.tsx","93","MarketingContactPanel","button","停止此版本","{""onClick"":""()=>void command(`/notices/${notice.id}/decision`,{action:'stop',reason},'停止新同意与尚未发送任务，不修改会员权益或已完成送达事实。')""}","","","busy","notice.status==='published'&&can('marketing.notice.publish')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0805","src/normalized-ui/MarketingContactPanel.tsx","94","MarketingContactPanel","button","更多告知版本","{""onClick"":""()=>void operate(()=>read('notices',true))""}","","","busy","can('marketing.notice.view') && noticeCursor","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0806","src/normalized-ui/MarketingContactPanel.tsx","95","MarketingContactPanel","summary","客户联系任务与拒绝记录","{}","","","","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit'))","浏览器原生展开/收起","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0807","src/normalized-ui/MarketingContactPanel.tsx","95","MarketingContactPanel","select","{can('marketing.send')&&<option value=""send"">建立联系任务</option>} {can('marketing.refusal.record')&&<option value=""refusal"">记录客户拒绝</option>} {can('marketing.consent.audit')&&<option value=""audit"">核查本人许可历史</option>}","{""onChange"":""event=>{setLookupPurpose(event.target.value as 'send'|'refusal'|'audit');setCustomer(null);setCustomers([]);setCustomerCursor(null)}""}","","","","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit'))","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0808","src/normalized-ui/MarketingContactPanel.tsx","96","MarketingContactPanel","input","会员号或客户编号","{""onChange"":""event=>{setSearch(event.target.value);setCustomers([]);setCustomer(null);setCustomerCursor(null)}""}","","","","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit'))","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0809","src/normalized-ui/MarketingContactPanel.tsx","96","MarketingContactPanel","button","查找客户","{""onClick"":""()=>void lookup()""}","","","","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit'))","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0810","src/normalized-ui/MarketingContactPanel.tsx","96","MarketingContactPanel","button","{item.name}","{""onClick"":""()=>setCustomer(item)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0811","src/normalized-ui/MarketingContactPanel.tsx","96","MarketingContactPanel","button","更多客户","{""onClick"":""()=>void lookup(true)""}","","","","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit')) && customerCursor","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0812","src/normalized-ui/MarketingContactPanel.tsx","98","MarketingContactPanel","button","读取许可历史","{""onClick"":""()=>void readHistory()""}","","","!customer||reason.trim().length<2","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit')) && lookupPurpose==='audit'&&can('marketing.consent.audit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0813","src/normalized-ui/MarketingContactPanel.tsx","98","MarketingContactPanel","summary","{row.notice.code} 第 {row.notice.version} 版原告知","{}","","","","row.notice","浏览器原生展开/收起","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0814","src/normalized-ui/MarketingContactPanel.tsx","98","MarketingContactPanel","button","更早许可记录","{""onClick"":""()=>void readHistory(true)""}","","","","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit')) && lookupPurpose==='audit'&&can('marketing.consent.audit') && historyCursor","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0815","src/normalized-ui/MarketingContactPanel.tsx","99","MarketingContactPanel","button","记录拒绝全部营销","{""onClick"":""()=>customer&&void command('/refusals',{customerId:customer.id,reason},`记录${customer.name}明确拒绝营销，停止全部渠道未发送任务；不能代客户记录同意。`)""}","","","!customer","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit')) && lookupPurpose==='refusal'&&can('marketing.refusal.record')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0816","src/normalized-ui/MarketingContactPanel.tsx","100","MarketingContactPanel","select","先读取并选择已发布告知 {notices.filter(n=>n.status==='published').map(n=><option key={n.id} value={n.id}>{n.code} · 第{n.version}版</option>)}","{""onChange"":""event=>setTask({...task,noticeId:event.target.value})""}","","","","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit')) && lookupPurpose==='send'&&can('marketing.send')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0817","src/normalized-ui/MarketingContactPanel.tsx","100","MarketingContactPanel","select","{Object.entries(channelNames).map(([key,name])=><option key={key} value={key}>{name}</option>)}","{""onChange"":""event=>setTask({...task,channel:event.target.value})""}","","","","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit')) && lookupPurpose==='send'&&can('marketing.send')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0818","src/normalized-ui/MarketingContactPanel.tsx","100","MarketingContactPanel","select","本店活动 本店联系的联合活动","{""onChange"":""event=>setTask({...task,purpose:event.target.value})""}","","","","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit')) && lookupPurpose==='send'&&can('marketing.send')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0819","src/normalized-ui/MarketingContactPanel.tsx","100","MarketingContactPanel","input","唯一活动批次","{""onChange"":""event=>setTask({...task,campaignKey:event.target.value})""}","","","","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit')) && lookupPurpose==='send'&&can('marketing.send')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0820","src/normalized-ui/MarketingContactPanel.tsx","100","MarketingContactPanel","textarea","具体活动内容","{""onChange"":""event=>setTask({...task,content:event.target.value})""}","","","","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit')) && lookupPurpose==='send'&&can('marketing.send')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0821","src/normalized-ui/MarketingContactPanel.tsx","100","MarketingContactPanel","input","任务截止（北京时间）","{""onChange"":""event=>setTask({...task,expiresAt:event.target.value})""}","","","","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit')) && lookupPurpose==='send'&&can('marketing.send')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0822","src/normalized-ui/MarketingContactPanel.tsx","100","MarketingContactPanel","button","建立待核验任务","{""onClick"":""()=>customer&&void command('/jobs',{...task,customerId:customer.id,expiresAt:instant(task.expiresAt)},'仅建立任务，执行前再次核实本人许可、原生渠道、已验证地址和频次。未配置渠道不会发送。')""}","","","!customer||!task.noticeId||!task.expiresAt","(can('marketing.send')||can('marketing.refusal.record')||can('marketing.consent.audit')) && lookupPurpose==='send'&&can('marketing.send')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0823","src/normalized-ui/MarketingContactPanel.tsx","102","MarketingContactPanel","button","读取联系任务","{""onClick"":""()=>void operate(()=>read('jobs'))""}","","","busy","can('marketing.send')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0824","src/normalized-ui/MarketingContactPanel.tsx","102","MarketingContactPanel","button","取消任务","{""onClick"":""()=>void command(`/jobs/${job.id}/cancel`,{reason},'取消尚未交给渠道的任务，保留审计记录。')""}","","","busy","['queued','blocked'].includes(job.status)","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0825","src/normalized-ui/MarketingContactPanel.tsx","102","MarketingContactPanel","button","更多联系任务","{""onClick"":""()=>void operate(()=>read('jobs',true))""}","","","busy","can('marketing.send') && jobCursor","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0826","src/normalized-ui/MediaAssetPicker.tsx","67","MediaAssetPicker","button","{label}","{""onClick"":""()=>setOpen((current)=>!current)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0827","src/normalized-ui/MediaAssetPicker.tsx","68","MediaAssetPicker","button","移除已选图片","{""onClick"":""()=>onChange('')""}","","","","value !== ''","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0828","src/normalized-ui/MediaAssetPicker.tsx","72","MediaAssetPicker","input","","{""onChange"":""(event)=>{const file=event.currentTarget.files?.[0];event.currentTarget.value='';if(file)void upload(file)}""}","","","busy","open","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0829","src/normalized-ui/MediaAssetPicker.tsx","76","MediaAssetPicker","button","{asset.originalFileName} {Math.ceil(asset.byteLength/1024)} KB · {new Date(asset.createdAt).toLocaleDateString('zh-CN')}","{""onClick"":""()=>onChange(asset.publicUrl)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0830","src/normalized-ui/MediaAssetPicker.tsx","77","MediaAssetPicker","button","加载更多图片","{""onClick"":""()=>void load(nextCursor)""}","","","busy","open && nextCursor","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0831","src/normalized-ui/MemberCardManagementPanel.tsx","101","MemberCardManagementPanel","button","读取 / 刷新","{""onClick"":""()=>void load()""}","","","busy","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0832","src/normalized-ui/MemberCardManagementPanel.tsx","103","MemberCardManagementPanel","input","审核原因","{""onChange"":""event=>setReason(event.target.value)""}","","","busy","review","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0833","src/normalized-ui/MemberCardManagementPanel.tsx","103","MemberCardManagementPanel","button","通过选中 {selected.length} 项","{""onClick"":""()=>void decide(selected,'approve')""}","","","busy||!selected.length","review","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0834","src/normalized-ui/MemberCardManagementPanel.tsx","103","MemberCardManagementPanel","button","拒绝选中 {selected.length} 项","{""onClick"":""()=>void decide(selected,'reject')""}","","","busy||!selected.length","review","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0835","src/normalized-ui/MemberCardManagementPanel.tsx","105","MemberCardManagementPanel","button","加载更多待审核申请","{""onClick"":""()=>void loadMore('applications')""}","","","busy","review && applicationCursor","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0836","src/normalized-ui/MemberCardManagementPanel.tsx","106","MemberCardManagementPanel","select","自定义原因 符合申请条件 不符合本卡申请条件 资料不完整，请核对后重新申请","{""onChange"":""event=>setReason(event.target.value)""}","","","busy","review","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0837","src/normalized-ui/MemberCardManagementPanel.tsx","107","MemberCardManagementPanel","input","","{""onChange"":""event=>setSelected(value=>event.target.checked?[...value,item.id]:value.filter(id=>id!==item.id))""}","","","busy","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0838","src/normalized-ui/MemberCardManagementPanel.tsx","107","MemberCardManagementPanel","button","通过","{""onClick"":""()=>void decide([item.id],'approve')""}","","","busy","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0839","src/normalized-ui/MemberCardManagementPanel.tsx","107","MemberCardManagementPanel","button","拒绝","{""onClick"":""()=>void decide([item.id],'reject')""}","","","busy","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0840","src/normalized-ui/MemberCardManagementPanel.tsx","109","MemberCardManagementPanel","summary","持卡状态管理","{}","","","","manage","浏览器原生展开/收起","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0841","src/normalized-ui/MemberCardManagementPanel.tsx","109","MemberCardManagementPanel","input","变更原因","{""onChange"":""event=>setCardReason(event.target.value)""}","","","busy","manage","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0842","src/normalized-ui/MemberCardManagementPanel.tsx","109","MemberCardManagementPanel","button","读取 / 刷新持卡","{""onClick"":""()=>void loadHoldings()""}","","","busy","manage","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0843","src/normalized-ui/MemberCardManagementPanel.tsx","111","MemberCardManagementPanel","button","冻结","{""onClick"":""()=>void changeHolding(card,'suspend')""}","","","busy","card.status==='active'&&!card.expired","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0844","src/normalized-ui/MemberCardManagementPanel.tsx","112","MemberCardManagementPanel","button","恢复","{""onClick"":""()=>void changeHolding(card,'resume')""}","","","busy","card.status==='suspended'&&!card.expired","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0845","src/normalized-ui/MemberCardManagementPanel.tsx","113","MemberCardManagementPanel","button","撤销","{""onClick"":""()=>void changeHolding(card,'revoke')""}","","","busy","['active','suspended'].includes(card.status)","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0846","src/normalized-ui/MemberCardManagementPanel.tsx","115","MemberCardManagementPanel","button","加载更多持卡","{""onClick"":""()=>void loadHoldings(true)""}","","","busy","manage && holdingCursor","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0847","src/normalized-ui/MemberCardManagementPanel.tsx","117","MemberCardManagementPanel","summary","卡项目配置与开放","{}","","","","manage","浏览器原生展开/收起","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0848","src/normalized-ui/MemberCardManagementPanel.tsx","118","MemberCardManagementPanel","input","项目编号","{""onChange"":""event=>setForm({...form,code:event.target.value.toUpperCase()})""}","","","","manage","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0849","src/normalized-ui/MemberCardManagementPanel.tsx","119","MemberCardManagementPanel","input","名称","{""onChange"":""event=>setForm({...form,name:event.target.value})""}","","","","manage","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0850","src/normalized-ui/MemberCardManagementPanel.tsx","120","MemberCardManagementPanel","select","免费兴趣卡 免费联名卡","{""onChange"":""event=>setForm({...form,kind:event.target.value,cooperationConfirmed:false})""}","","","","manage","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0851","src/normalized-ui/MemberCardManagementPanel.tsx","121","MemberCardManagementPanel","input","开始时间（北京时间）","{""onChange"":""event=>setForm({...form,availableFrom:event.target.value})""}","","","","manage","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0852","src/normalized-ui/MemberCardManagementPanel.tsx","122","MemberCardManagementPanel","input","结束时间（北京时间）","{""onChange"":""event=>setForm({...form,availableUntil:event.target.value})""}","","","","manage","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
