"TC编号","优先级","状态","工程覆盖度","责任人","执行场景","通过条件","必须提交的证据"
"TME-013","P0","未执行","专项门禁","质量负责人/对应业务负责人","在北京时间06:00前后启动分阶段压测，并让应用执行自动营业日切换","造数时间自动绑定当前M-BOX营业日；同一套件所有阶段共享同一参考时间；不得因过期固定日期导致桌台被切日清空","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-001","P0","失败","专项门禁","质量负责人/对应业务负责人","两个API实例、60读取并发、每条关键路由至少300样本","0个HTTP/流程失败；关键路由P95/P99全部达标","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-002","P1","失败","专项门禁","质量负责人/对应业务负责人","压测期间检查事件循环","P95理想不超过50ms、硬上限75ms，P99不超过100ms","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-005","P1","阻塞","专项门禁","质量负责人/对应业务负责人","阿里云线上读取CPU、内存、磁盘、连接数、重启/OOM与请求P95","连续峰值证据达到阈值后才决定纵向或横向扩容","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-006","P1","失败","专项门禁","质量负责人/对应业务负责人","部署时双容器并存和迁移","不使线上CPU/内存持续饱和，不造成新SSH和客户请求超时","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-008","P0","失败","专项门禁","质量负责人/对应业务负责人","提交级单路由回归，每条关键路由至少300个成功样本","每条路由独立满足SLO，权限拒绝和脚本错误不得混入成功性能样本","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-009","P0","未执行","专项门禁","质量负责人/对应业务负责人","固定规格候选环境运行30分钟300人代表性混合经营峰值","动作比例、到达率和角色符合模型；错误、重复、错状态为0，资源与SLO达标","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-010","P1","未执行","专项门禁","质量负责人/对应业务负责人","在隔离环境执行1/2/4/6/8次业务写每秒容量阶梯","每档连续3次，找到排队拐点、安全容量和恢复时间，不用极限结果冒充经营峰值","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-012","P1","未执行","专项门禁","质量负责人/对应业务负责人","同一提交、环境、数据和负载连续运行3次","三轮均达到门禁，禁止只挑最好结果","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-013","P0","失败","专项门禁","质量负责人/对应业务负责人","性能失败或测试脚本失败后封存原始结果","报告、日志、指标、缺陷分类与SHA256清单均保留，修复后另起一轮","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-014","P1","未执行","专项门禁","质量负责人/对应业务负责人","用同一请求ID对齐客户端、服务端、连接池、队列和数据库耗时","端到端差值可解释，不能仅凭总耗时推断需要扩容","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-017","P1","未执行","专项门禁","质量负责人/对应业务负责人","连续3个营业日分别生成300单并完成KDS、库存、任务和06:00切日","活跃聚合状态不超过10MB；超过2MB后每次成功写入净增不高于5KB；历史数据归档可查且热路由P95/P99不逐日退化","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-018","P1","失败","专项门禁","质量负责人/对应业务负责人","两实例、全新数据库下持续执行KDS动作5次/秒，共300次","记录容量档位、排队拐点和恢复时间；P95不超过800ms、写队列等待P95不超过100ms，状态和库存不丢不重","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-019","P1","失败","专项门禁","质量负责人/对应业务负责人","两个API实例持续执行前台KDS写入，同时制造营业日/SLA、通知和SOP到期；再分别杀死租约持有进程、断开其数据库连接并恢复另一实例","同一门店同一时刻只有一个调度实例执行；后台认领不得等待前台锁；前台写队列等待P95不超过100ms；15秒强制阈值后的端到端提交延迟单独测量；接管后任务不丢不重并保留审计","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-020","P1","失败","专项门禁","质量负责人/对应业务负责人","后台调度在无到期工作、持续前台写、达到强制阈值、持有实例崩溃四种状态下运行","空转不复制或改写整店聚合；事件循环P99不超过100ms；到期工作最终执行；强制阈值、tick、锁等待和提交耗时分别记录；实例退出后下个健康实例在规定时限内接管","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-021","P0","未执行","专项门禁","质量负责人/对应业务负责人","每个性能阶段核对目标发起、实际发起、成功响应、服务端路由、写服务、数据库修订、审计和业务副作用数量","全链路样本可守恒；差异必须有明确的幂等、拒绝或异步解释；少量服务端样本不得冒充300次有效测量","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-022","P1","未执行","专项门禁","质量负责人/对应业务负责人","KDS、后台调度和其他写入同时进入串行队列","分来源记录等待P95/P99和服务P95；可判断是前台写、调度还是其他操作造成长尾","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-023","P0","未执行","专项门禁","质量负责人/对应业务负责人","GitHub制品额度充足与耗尽两种情况下执行同一性能失败/通过矩阵","业务结果和证据传输分别记录；PR附件失败不得掩盖业务结果；正式标签缺完整原始证据必须拒绝发布","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-024","P1","未执行","专项门禁","质量负责人/对应业务负责人","初始化、写入和重置性能窗口分别记录聚合状态体积","三个阶段统一按实际提交JSON的UTF-8字节数计算；同一状态不得因序列化方式不同产生虚假增长","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-025","P1","未执行","专项门禁","质量负责人/对应业务负责人","在相同提交、数据、实例和到达率下成对执行“连续CPU阶段”与“阶段间事件循环让渡”KDS开始/完成负载","业务结果完全一致；事件循环P99改善且事务持有、写服务、队列等待和吞吐不退化；至少3轮，不得只选最好轮","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"CAP-026","P0","未执行","专项门禁","质量负责人/对应业务负责人","分别制造KDS、调度和其他写入的成功、业务失败、队列拒绝与排队超时","每来源满足“尝试=入队+拒绝+超时”及“入队=完成+执行失败”；不允许失败样本从性能统计中消失","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"DAT-001","P0","未执行","专项门禁","质量负责人/对应业务负责人","使用旧版应用规范JSON校验值启动，然后不执行任何业务写入","运行状态与投影检查点保留原算法和原校验值，启动不得误报损坏或静默改写","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"DAT-002","P0","未执行","专项门禁","质量负责人/对应业务负责人","在旧校验算法状态上执行首次成功业务写入","权威状态、投影检查点和变更日志在同一事务内升级为PostgreSQL JSONB SHA-256，revision一致","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"DAT-003","P0","未执行","专项门禁","质量负责人/对应业务负责人","篡改投影检查点校验值或权威运行状态校验值后启动读取与仓储","读取或启动稳定拒绝，不返回旧状态、不伪报ready","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"DAT-004","P0","未执行","专项门禁","质量负责人/对应业务负责人","在权威状态写入后、投影完成前注入失败","整个事务回滚，状态、revision、投影和审计均不出现半成功","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"DAT-005","P1","未执行","专项门禁","质量负责人/对应业务负责人","从健康端点读取权威状态与当前投影检查点","`projectionChecksumMatch`为真才允许ready；校验算法不匹配或值不匹配均阻断","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"DAT-006","P1","未执行","专项门禁","质量负责人/对应业务负责人","升级包含历史版本日志且历史状态正文已不可恢复的数据库","不猜测历史摘要算法；不可判定记录标为`unknown-legacy-sha256-v0`，当前可核验revision按权威状态定级，后续日志记录精确前后算法","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"DAT-007","P0","未执行","专项门禁","质量负责人/对应业务负责人","业务回调在提交完成后继续持有并修改其工作状态对象","进程内缓存、重新读取和兄弟实例均返回数据库已提交值；回调对象不得污染权威缓存或制造同revision不同内容","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"RPF-007","P1","未执行","专项门禁","质量负责人/对应业务负责人","已签名员工执行下单、任务和库存等高频请求","人员目录与租约完成身份校验，业务接口仍按权威状态校验权限；不重复克隆整店状态","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"RPF-010","P1","未执行","专项门禁","质量负责人/对应业务负责人","在空预约、正常预约和高容量预约数据集读取预约","数据量和响应体积有记录，三种规模均达到正确性与延迟门禁","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"RPF-011","P1","未执行","专项门禁","质量负责人/对应业务负责人","同一客户重复扫码及并发建立桌次会话","客户ID和访问记录幂等，不重复建会话、不丢行为事件","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"RPF-012","P1","未执行","专项门禁","质量负责人/对应业务负责人","12名员工持续心跳并跨两个实例读取","在线状态、离线时限和权限一致；脚本给所有模拟在线员工续租","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"RPF-013","P0","未执行","专项门禁","质量负责人/对应业务负责人","任务/KDS响应超时后客户端重试","不重复完成、重复制作、重复扣库存或状态回退","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"RPF-014","P0","未执行","专项门禁","质量负责人/对应业务负责人","实例A写入后立即从实例B读取任务、KDS、预约和桌次","跨实例读取与数据库权威状态一致，不返回旧状态或假成功","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"RPF-015","P1","失败","专项门禁","质量负责人/对应业务负责人","使用生产构建和独立浏览器上下文，分别测员工进入岗位首页与固定桌码进入可浏览菜单","从导航开始到首屏可见且完成两帧绘制P95不超过500ms；API错误为0；不得用API或测试工具轮询耗时代替页面内绘制时间","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"RPF-016","P1","未执行","专项门禁","质量负责人/对应业务负责人","将员工登录从整店聚合写迁移到规范化事务，并注入停用、切营业日和写入结果未知故障","租约、登录审计和未归属任务重分派原子一致；失败不签发令牌且不遗留幽灵租约，登录期间状态变化必须拒绝或重试","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"RPF-017","P1","未执行","专项门禁","质量负责人/对应业务负责人","分别执行员工App/浏览器进程冷启动、新浏览器上下文首开和已有会话页面启动","三类指标独立命名并各自满足阈值；不得用预登录的新上下文首开替代完整冷启动","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
"NC-PAY-003","P0","阻塞","规范化候选门禁","质量负责人/对应业务负责人","向星驿发起真实支付建单","事务后异步建单，二维码/JSAPI动作可查询，失败可重试","见 docs/quality/normalized-core-v1-test-case-register.md"
"NC-REF-001","P0","部分通过","规范化候选门禁","质量负责人/对应业务负责人","部分退款申请、审批、执行、回调","额度与岗位校验；审批和执行分离；全程留痕","见 docs/quality/normalized-core-v1-test-case-register.md"
"NC-WORK-002","P0","阻塞","规范化候选门禁","质量负责人/对应业务负责人","真实通知、打印、耳机和SOP动作","真实设备/通道完成端到端并留投递证据","见 docs/quality/normalized-core-v1-test-case-register.md"
"NC-PERF-002","P0","本地通过，提交级待复核","规范化候选门禁","质量负责人/对应业务负责人","员工与客户已有会话页面启动","每端至少30个全新浏览器上下文；页面和关键API路径P95不高于500ms、P99不高于1000ms、错误为0","见 docs/quality/normalized-core-v1-test-case-register.md"
"NC-CI-001","P0","提交级待复核","规范化候选门禁","质量负责人/对应业务负责人","旧整店状态性能门禁误判规范化候选","CI必须在全新规范化数据库上启动规范化服务；报告提交SHA必须等于检出提交","见 docs/quality/normalized-core-v1-test-case-register.md"
"NC-OBS-001","P0","提交级待复核","规范化候选门禁","质量负责人/对应业务负责人","客户端快但连接池或SQL已拥塞","连接池获取失败为0、等待P95不高于50ms；事务和SQL失败为0并满足延迟门禁","见 docs/quality/normalized-core-v1-test-case-register.md"
"NC-REL-001","P0","待部署复核","规范化候选门禁","质量负责人/对应业务负责人","候选不可变发布","同一SHA和镜像摘要贯穿测试、候选、切流和回滚","见 docs/quality/normalized-core-v1-test-case-register.md"
"NC-REL-004","P0","本地通过，线上待部署复核","规范化候选门禁","质量负责人/对应业务负责人","直接扫码、刷新预约页或打开员工深层网址","首页、固定桌码、预约和员工入口必须返回可挂载应用壳且模块脚本可加载；API请求不能被SPA兜底","见 docs/quality/normalized-core-v1-test-case-register.md"
"NC-UI-006","P1","提交级待复核","规范化候选门禁","质量负责人/对应业务负责人","客户点单关键页视觉证据","320和390px实图无截断、遮挡或横向溢出，商品与购物车优先展示","见 docs/quality/normalized-core-v1-test-case-register.md"
"AR79-001","P0","本地通过，线上待部署复核","发布入口门禁","发布负责人","发布后直接打开首页、固定桌码、预约和员工深层网址","以移动浏览器请求头返回 200，并包含根挂载点和可加载模块脚本","见 docs/tc-release-route-gate-1.0.0-rc.79.md"
"AR79-002","P0","本地通过，线上待部署复核","发布入口门禁","发布负责人","未知 API 或用接口请求头访问前端路径","保持结构化 404，不以 SPA 页面掩盖接口错误","见 docs/tc-release-route-gate-1.0.0-rc.79.md"
"AR79-003","P0","本地通过，线上待部署复核","发布入口门禁","发布负责人","候选入口检查失败","切流前停止发布；切流后恢复上一不可变镜像、旧提交身份及自动启动策略","见 docs/tc-release-route-gate-1.0.0-rc.79.md"
"AR79-004","P1","本地通过，提交级待复核","发布入口门禁","发布负责人","发布探测没有模拟真实浏览器请求头","测试必须失败，不能把预期接口 404 误判为网页故障","见 docs/tc-release-route-gate-1.0.0-rc.79.md"
"AR79-005","P0","本地通过，提交级待复核","发布入口门禁","发布负责人","返回空 HTML、模块脚本丢失、运行时报错或前后端版本不一致","立即阻断，不把空壳、错误镜像或旧前端判为成功","见 docs/tc-release-route-gate-1.0.0-rc.79.md"
"AR79-006","P1","本地通过，提交级待复核","发布入口门禁","发布负责人","短暂切流传播或入口探测缓慢","四入口并行；重试与单次超时有界；已命中目标提交后连续两次入口失败才终止，避免瞬时网络抖动误回滚","见 docs/tc-release-route-gate-1.0.0-rc.79.md"
"AR79-007","P0","本地通过，提交级待复核","发布入口门禁","发布负责人","发布机执行了未提交或被替换的部署脚本","激活、验证、回滚和OSS辅助脚本必须全部进入发布清单并通过SHA256校验，发布机只执行包内脚本","见 docs/tc-release-route-gate-1.0.0-rc.79.md"
"AR79-008","P0","本地通过，线上待部署复核","发布入口门禁","发布负责人","切流或容器改名过程中收到中断信号","INT返回130、TERM返回143；恢复逻辑按实际提交和镜像摘要恢复上一版本，不得报告假成功","见 docs/tc-release-route-gate-1.0.0-rc.79.md"
"AR79-009","P0","本地通过，提交级待复核","发布入口门禁","发布负责人","常规检查通过，但性能或旧入口构建才发现前端类型契约已漂移","统一检查必须编译完整前端工程；测试夹具只使用当前接口契约，性能测试不得成为首次发现编译错误的阶段","见 docs/tc-release-route-gate-1.0.0-rc.79.md"
